"archive_path","uncompressed_bytes","compressed_bytes","extension","crc32","review_required","review_reasons"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed1__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-032822/stage3_weights.pt","4821029","3884744",".pt","","True","review_extension:.pt;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_final_normal.npy","576","238",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_final_reduce.npy","576","248",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage1_normal_global.npy","576","526",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage1_normal_local.npy","576","526",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage1_reduce_global.npy","576","523",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage1_reduce_local.npy","576","523",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage2_normal_global.npy","576","390",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage2_normal_local.npy","408","363",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage2_reduce_global.npy","576","386",".npy","","True","review_extension:.npy;generated_or_historical_output"
"PDARTS/output/search_runs/Batch/64/ISIC_search__ISIC2019__n10__seed2__img32__bs64__lr0.025__wd0.0003__archlr0.0006__eps25x3__20251219-051030/arch_probs_stage2_reduce_local.npy","408","358",".npy","","True","review_extension:.npy;generated_or_historical_output"
