"outer_archive_path","outer_basename","outer_sha256","batch1_classification","preliminary_role","comparison_status","nested_match_count","matched_nested_archives","matched_inner_paths","matched_inner_hashes","lineage_interpretation"
"PDARTS/Github/master/01_skin_csv_dataset.py","01_skin_csv_dataset.py","f7051fc49578082670f2efbc8c9433830d1a0fe60ba8e163c9a8abdf002c5780","MIGRATE_TO_MAINTAINED","data_loading","exact_same_basename_and_sha256","1","PDARTS/Github/pdarts-master.zip","pdarts-master/01_skin_csv_dataset.py","f7051fc49578082670f2efbc8c9433830d1a0fe60ba8e163c9a8abdf002c5780","Byte-identical to bundled source; upstream or shared-core review required"
"PDARTS/Github/master/02_skin_transforms.py","02_skin_transforms.py","71247518dee340a8b0525261a3413c66fb8ef41c9bc79750a1c0ffa2a2ed8a60","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","exact_same_basename_and_sha256","1","PDARTS/Github/pdarts-master.zip","pdarts-master/02_skin_transforms.py","71247518dee340a8b0525261a3413c66fb8ef41c9bc79750a1c0ffa2a2ed8a60","Byte-identical to bundled source; upstream or shared-core review required"
"PDARTS/Github/master/03_run_search_skin.py","03_run_search_skin.py","ba0298a3bd487cbcbb69ee2601d742df070b395ccfd217e6bbd80ced2a897a54","MIGRATE_TO_MAINTAINED","architecture_search","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/03_run_search_skinTask2 - Copy.py","03_run_search_skinTask2 - Copy.py","3ffc46eac9bb9bbe7be657c21a37814a52b97b0e64b334cc2ec5627bd2099379","MIGRATE_TO_MAINTAINED","architecture_search","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/03_run_search_skinTask2.py","03_run_search_skinTask2.py","668ce3caa6417b79a3f64334fd228c24afb8b4e8bd08af0b5c3823b6a349ecb1","MIGRATE_TO_MAINTAINED","architecture_search","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/04_multieval_genotype_skin.py","04_multieval_genotype_skin.py","8360ff3d53d402b0910b635a9a93c8ca2eab7d522a6a3b81740869de7166b3ba","MIGRATE_TO_MAINTAINED","architecture_evaluation","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/04_multieval_genotype_skin_g0allm.py","04_multieval_genotype_skin_g0allm.py","ee940e2f51bcb251af5f8ac11c7dae98871c1d554b77f40c92d3c5d445c65c27","MIGRATE_TO_MAINTAINED","architecture_evaluation","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/04_multieval_genotype_skinaallinone.py","04_multieval_genotype_skinaallinone.py","7fe2c4322fe5ce0121fc2514b6a017ea9560552db139f1ff176de13f2c1be756","MIGRATE_TO_MAINTAINED","architecture_evaluation","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/04_OnenSevenmTwodataset.py","04_OnenSevenmTwodataset.py","87ea0847ad23ba0e7b8aedde3cae942dad6ef36591754a38389dd977546dc937","MIGRATE_TO_MAINTAINED","data_loading","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/Derma_split.py","Derma_split.py","ddb6457198c71204f6652e86c180bf861d86fafde054fecba2d23b11e9642618","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/genotypes.py","genotypes.py","b88cf33232f8b83dfee3e5ecadc7e12943202f5ce42d0d5486816d5ca2d05929","PUBLISH_AS_HISTORICAL","shared_nas_core","exact_same_basename_and_sha256","2","PDARTS/Github/pdarts-master - Copy.zip;PDARTS/Github/pdarts-master.zip","pdarts-master/genotypes.py","b88cf33232f8b83dfee3e5ecadc7e12943202f5ce42d0d5486816d5ca2d05929","Byte-identical to bundled source; upstream or shared-core review required"
"PDARTS/Github/master/model.py","model.py","7054c78634bf5374390f197200a6d7a66b740ef12d97f27a285073357952f3c8","PUBLISH_AS_HISTORICAL","shared_nas_core","exact_same_basename_and_sha256","2","PDARTS/Github/pdarts-master - Copy.zip;PDARTS/Github/pdarts-master.zip","pdarts-master/model.py","7054c78634bf5374390f197200a6d7a66b740ef12d97f27a285073357952f3c8","Byte-identical to bundled source; upstream or shared-core review required"
"PDARTS/Github/master/model_search.py","model_search.py","55031d82f0267cae939c469ae12d1db6002a271e9ecf0a48ae1f9ac0dc0f9384","PUBLISH_AS_HISTORICAL","architecture_search","exact_same_basename_and_sha256","2","PDARTS/Github/pdarts-master - Copy.zip;PDARTS/Github/pdarts-master.zip","pdarts-master/model_search.py","55031d82f0267cae939c469ae12d1db6002a271e9ecf0a48ae1f9ac0dc0f9384","Byte-identical to bundled source; upstream or shared-core review required"
"PDARTS/Github/master/operations.py","operations.py","9fec86be75abba79fb6ecc1265ed13602f71e165906385964cbcffe6d1837522","PUBLISH_AS_HISTORICAL","shared_nas_core","exact_same_basename_and_sha256","2","PDARTS/Github/pdarts-master - Copy.zip;PDARTS/Github/pdarts-master.zip","pdarts-master/operations.py","9fec86be75abba79fb6ecc1265ed13602f71e165906385964cbcffe6d1837522","Byte-identical to bundled source; upstream or shared-core review required"
"PDARTS/Github/master/skin_csv_dataset.py","skin_csv_dataset.py","d7f8ee22e2ce94c23fe9e784b3384ae4a03d4d329540918e33ab8e45340f669b","MIGRATE_TO_MAINTAINED","data_loading","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/skin_transforms.py","skin_transforms.py","dbcd25375c81220a8c7b8fce966a662aaaa09160112f5dee344771f8d7874acd","MIGRATE_TO_MAINTAINED","general_or_unresolved_source","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
"PDARTS/Github/master/splits.py","splits.py","2dc6bea51e05b587ed5df858049234858f986c0d9618942dbcc03323a4b81827","MIGRATE_TO_MAINTAINED","data_preparation","no_nested_python_match","0","","","","No nested counterpart detected; project-specific or independently sourced review required"
